"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.548217780E-1,-1.842498779E-1,5.958099365E-1,9.456436157E0,9.476978542E0
2.571411130E-1,5.407714844E-1,1.071990967E0,9.255432129E0,9.332985713E0
2.594909670E-1,5.910339355E-1,1.112655640E0,9.288940430E0,9.373992639E0
2.618103030E-1,3.038940430E-1,9.930267334E-1,9.458831787E0,9.515668787E0
2.641906740E-1,3.349304199E-2,8.470611572E-1,9.619140625E0,9.656422772E0
2.665405280E-1,-1.603240967E-1,6.891326904E-1,9.678970337E0,9.704796467E0
2.688598630E-1,-2.177429199E-1,5.240325928E-1,9.614364624E0,9.631096992E0
2.712097170E-1,-2.895355225E-1,4.115600586E-1,9.559326172E0,9.572561275E0
2.735290530E-1,-3.684997559E-1,3.230285645E-1,9.592819214E0,9.605327688E0
2.758789060E-1,-5.503540039E-1,3.182525635E-1,9.645462036E0,9.666390853E0
2.782287600E-1,-2.639282227E0,9.331970215E-1,1.033459473E1,1.070703113E1
2.805480960E-1,-3.692123413E0,1.055236816E0,1.083470154E1,1.149504491E1
2.828979490E-1,-1.490722656E0,1.196441650E-1,1.049491882E1,1.060093816E1
2.852172850E-1,2.225341797E-1,-3.278198242E-1,1.004267883E1,1.005049180E1
2.875671390E-1,5.216369629E-1,-6.700134277E-2,9.454040527E0,9.468657592E0
2.899169920E-1,1.842498779E-1,5.120697021E-1,8.944366455E0,8.960907023E0
2.922363280E-1,5.024719238E-2,8.111724854E-1,8.975479126E0,9.012200127E0
2.945861820E-1,-2.153015137E-2,6.963043213E-1,9.298507690E0,9.324566935E0
2.969055180E-1,-1.004943848E-1,4.594268799E-1,9.693328857E0,9.704730626E0
2.992553710E-1,-9.332275391E-2,2.297058105E-1,9.774673462E0,9.777817506E0
3.016662600E-1,-2.177429199E-1,1.459655762E-1,9.784255981E0,9.787767010E0
3.039245610E-1,-4.139556885E-1,1.363983154E-1,9.760330200E0,9.770056777E0
3.062744140E-1,-5.264282227E-1,1.196441650E-1,9.800994873E0,9.815851563E0
3.085937500E-1,-5.623168945E-1,7.177734375E-2,9.753143311E0,9.769603713E0
3.109436040E-1,-4.809570312E-1,4.067993164E-2,9.621536255E0,9.633635577E0
3.132934570E-1,-4.307098389E-1,-4.067993164E-2,9.418151855E0,9.428083060E0
3.156127930E-1,-5.001068115E-1,-2.871704102E-2,9.169296265E0,9.182969317E0
3.179626470E-1,-7.369842529E-1,4.785156250E-2,8.901306152E0,8.931891557E0
3.202819830E-1,-1.031311035E0,1.411743164E-1,8.685943604E0,8.748094017E0
3.226318360E-1,-1.347152710E0,3.637084961E-1,8.642868042E0,8.754785679E0
3.249816900E-1,-1.596008301E0,5.862426758E-1,8.798416138E0,8.961196879E0
3.273010260E-1,-1.684539795E0,8.207397461E-1,9.111862183E0,9.302543764E0
3.296508790E-1,-1.548156738E0,1.026519775E0,9.549758911E0,9.728742334E0
