"Time (s)","Pressure (hPa)"
1.822629909E1,9.874669800E2
1.826475124E1,9.874669800E2
1.830320339E1,9.874669800E2
1.834165554E1,9.874669800E2
1.838010769E1,9.874669800E2
1.841855984E1,9.874727783E2
1.845701198E1,9.874727783E2
1.849549465E1,9.874727783E2
1.853391628E1,9.874727783E2
1.857236843E1,9.874787598E2
1.861082058E1,9.874787598E2
1.864927272E1,9.874787598E2
1.868772487E1,9.874787598E2
1.872617702E1,9.874954834E2
1.876465969E1,9.874954834E2
1.880308132E1,9.874954834E2
1.884153347E1,9.874954834E2
1.887998562E1,9.874954834E2
1.891843776E1,9.875018311E2
1.895688991E1,9.875018311E2
1.899534206E1,9.875018311E2
1.903379421E1,9.875018311E2
1.907227688E1,9.875150146E2
1.911066799E1,9.875150146E2
1.914963894E1,9.875150146E2
1.918760280E1,9.875150146E2
1.922605495E1,9.875192871E2
1.926450710E1,9.875192871E2
1.930295925E1,9.875192871E2
1.934144192E1,9.875192871E2
1.937986355E1,9.875192871E2
1.941831569E1,9.875241699E2
1.945676784E1,9.875241699E2
1.949521999E1,9.875241699E2
1.953367214E1,9.875241699E2
1.957212429E1,9.875319824E2
1.961057644E1,9.875319824E2
1.964905910E1,9.875319824E2
1.968748073E1,9.875319824E2
1.972593288E1,9.875362549E2
1.976438503E1,9.875362549E2
1.980283718E1,9.875362549E2
1.984147243E1,9.875362549E2
1.987974148E1,9.875362549E2
1.991822414E1,9.875411377E2
1.995664577E1,9.875411377E2
1.999509792E1,9.875411377E2
2.003355007E1,9.875411377E2
2.007200222E1,9.875512085E2
2.011045437E1,9.875512085E2
2.014890651E1,9.875512085E2
2.018738918E1,9.875512085E2
2.022581081E1,9.875574951E2
2.026426296E1,9.875574951E2
2.030271511E1,9.875574951E2
2.034116726E1,9.875574951E2
2.037961940E1,9.875574951E2
2.041807155E1,9.875729980E2
2.045652370E1,9.875729980E2
2.049500637E1,9.875729980E2
2.053342800E1,9.875729980E2
2.057188015E1,9.875831299E2
2.061033230E1,9.875831299E2
2.064878444E1,9.875831299E2
2.068723659E1,9.875831299E2
2.072568874E1,9.875949097E2
2.076417141E1,9.875949097E2
2.080259304E1,9.875949097E2
2.084104519E1,9.875949097E2
2.087949734E1,9.876029053E2
2.091794948E1,9.876029053E2
2.095640163E1,9.876029053E2
2.099485378E1,9.876029053E2
2.103330593E1,9.876029053E2
2.107178859E1,9.876129761E2
2.111021023E1,9.876129761E2
2.114866237E1,9.876129761E2
2.118772487E1,9.876129761E2
2.122556667E1,9.876156006E2
2.126401882E1,9.876156006E2
2.130247097E1,9.876156006E2
2.134095363E1,9.876156006E2
2.137937526E1,9.876204834E2
2.141782741E1,9.876204834E2
2.145627956E1,9.876204834E2
2.149473171E1,9.876204834E2
2.153318386E1,9.876204834E2
2.157163601E1,9.876287842E2
2.161008816E1,9.876287842E2
2.164857082E1,9.876287842E2
2.168699245E1,9.876287842E2
2.172544460E1,9.876402588E2
2.176389675E1,9.876402588E2
2.180234890E1,9.876402588E2
2.184080105E1,9.876402588E2
2.187958889E1,9.876451416E2
2.191773586E1,9.876451416E2
2.195615749E1,9.876451416E2
2.199460964E1,9.876451416E2
2.203306179E1,9.876451416E2
2.207151394E1,9.876517944E2
2.210996608E1,9.876517944E2
2.214841823E1,9.876517944E2
2.218687038E1,9.876517944E2
2.222535305E1,9.876655273E2
2.226377468E1,9.876655273E2
2.230222683E1,9.876655273E2
2.234067898E1,9.876655273E2
2.237910061E1,9.876787720E2
2.241758327E1,9.876787720E2
2.245603542E1,9.876787720E2
2.249451809E1,9.876787720E2
2.253293972E1,9.876787720E2
2.257145290E1,9.876819458E2
2.260984401E1,9.876819458E2
2.264829616E1,9.876819458E2
2.268674831E1,9.876819458E2
2.272520046E1,9.876885376E2
2.276368313E1,9.876885376E2
2.280210476E1,9.876885376E2
2.284055690E1,9.876885376E2
2.287900905E1,9.876983032E2
2.291746120E1,9.876983032E2
2.295591335E1,9.876983032E2
2.299436550E1,9.876983032E2
2.303281765E1,9.876983032E2
2.307130031E1,9.877063599E2
2.310972194E1,9.877063599E2
2.314817409E1,9.877063599E2
2.318662624E1,9.877063599E2
2.322507839E1,9.877072144E2
2.326353054E1,9.877072144E2
2.330195217E1,9.877072144E2
2.334046535E1,9.877072144E2
2.337888698E1,9.877115479E2
2.341733913E1,9.877115479E2
2.345579128E1,9.877115479E2
2.349424343E1,9.877115479E2
2.353269558E1,9.877115479E2
2.357114773E1,9.877192383E2
2.360959987E1,9.877192383E2
2.364808254E1,9.877192383E2
2.368650417E1,9.877192383E2
2.372495632E1,9.877327881E2
2.376340847E1,9.877327881E2
2.380186062E1,9.877327881E2
2.384031276E1,9.877327881E2
2.387876491E1,9.877356567E2
2.391770534E1,9.877356567E2
2.395576076E1,9.877356567E2
2.399412136E1,9.877356567E2
2.403257351E1,9.877356567E2
2.407102566E1,9.877526245E2
2.410947780E1,9.877526245E2
2.414792995E1,9.877526245E2
2.418638210E1,9.877526245E2
2.422486477E1,9.877586670E2
2.426328640E1,9.877586670E2
2.430176906E1,9.877586670E2
2.434019069E1,9.877586670E2
2.437864284E1,9.877704468E2
2.441709499E1,9.877704468E2
2.445554714E1,9.877704468E2
2.449402980E1,9.877704468E2
2.453245144E1,9.877704468E2
2.457090358E1,9.877741699E2
2.460950832E1,9.877741699E2
2.464780788E1,9.877741699E2
2.468626003E1,9.877741699E2
2.472471218E1,9.877825317E2
2.476316433E1,9.877825317E2
2.480164699E1,9.877825317E2
2.484006862E1,9.877825317E2
2.487852077E1,9.877919922E2
2.491697292E1,9.877919922E2
2.495542507E1,9.877919922E2
2.499387722E1,9.877919922E2
2.503232937E1,9.877919922E2
2.507081203E1,9.877963257E2
2.510923366E1,9.877963257E2
2.514768581E1,9.877963257E2
2.518613796E1,9.877963257E2
2.522459011E1,9.878109741E2
2.526304226E1,9.878109741E2
2.530149441E1,9.878109741E2
2.533997707E1,9.878109741E2
2.537839870E1,9.878280029E2
2.541685085E1,9.878280029E2
2.545530300E1,9.878280029E2
2.549375515E1,9.878280029E2
2.553220730E1,9.878339844E2
2.557065944E1,9.878339844E2
2.560911159E1,9.878339844E2
2.564759426E1,9.878339844E2
2.568601589E1,9.878339844E2
2.572449856E1,9.878279419E2
2.576292019E1,9.878279419E2
2.580134182E1,9.878279419E2
2.583982448E1,9.878279419E2
2.588013820E1,9.878408813E2
2.591675930E1,9.878408813E2
2.595569973E1,9.878408813E2
2.599363308E1,9.878408813E2
2.603208523E1,9.878469238E2
2.607053737E1,9.878469238E2
2.610898952E1,9.878469238E2
2.614744167E1,9.878469238E2
2.618589382E1,9.878469238E2
2.622437648E1,9.878656006E2
2.626279812E1,9.878656006E2
2.630125026E1,9.878656006E2
2.633970241E1,9.878656006E2
2.637815456E1,9.878734131E2
2.641660671E1,9.878734131E2
2.645505886E1,9.878734131E2
2.649354152E1,9.878734131E2
2.653196316E1,9.878793945E2
2.657041530E1,9.878793945E2
2.660886745E1,9.878793945E2
2.664750271E1,9.878793945E2
2.668738918E1,9.878793945E2
2.672422390E1,9.878802490E2
2.676267605E1,9.878802490E2
2.680115871E1,9.878802490E2
2.683954983E1,9.878802490E2
2.687803249E1,9.878880615E2
2.691648464E1,9.878880615E2
2.695493679E1,9.878880615E2
2.699338894E1,9.878880615E2
2.703184108E1,9.878926392E2
2.707032375E1,9.878926392E2
2.710874538E1,9.878926392E2
2.714719753E1,9.878926392E2
2.718564968E1,9.878926392E2
2.722410183E1,9.879093018E2
2.726255398E1,9.879093018E2
2.730100612E1,9.879093018E2
2.733945827E1,9.879093018E2
2.737791042E1,9.879211426E2
2.741636257E1,9.879211426E2
2.745481472E1,9.879211426E2
2.749457912E1,9.879211426E2
2.753171901E1,9.879306030E2
2.757017116E1,9.879306030E2
2.760862331E1,9.879306030E2
2.764710598E1,9.879306030E2
2.768552761E1,9.879306030E2
2.772397976E1,9.879441528E2
2.776243191E1,9.879441528E2
2.780088405E1,9.879441528E2
2.783933620E1,9.879441528E2
2.787778835E1,9.879536133E2
2.791627102E1,9.879536133E2
2.795469265E1,9.879536133E2
2.799366359E1,9.879536133E2
2.803159694E1,9.879631348E2
2.807004909E1,9.879631348E2
2.810850124E1,9.879631348E2
2.814695339E1,9.879631348E2
